date,name,interval,unit,value,quarterly_change,quarterly_growth_pct,cumulative_growth_pct,moving_avg_4q,moving_avg_8q
2002-01-01,Real Gross Domestic Product,quarterly,billions of dollars,3501.12,,,0.0,,
2002-04-01,Real Gross Domestic Product,quarterly,billions of dollars,3608.5,107.38,3.07,3.07,,
2002-07-01,Real Gross Domestic Product,quarterly,billions of dollars,3650.25,41.76,1.16,4.26,,
2002-10-01,Real Gross Domestic Product,quarterly,billions of dollars,3712.84,62.59,1.71,6.05,3618.18,
2003-01-01,Real Gross Domestic Product,quarterly,billions of dollars,3582.77,-130.08,-3.5,2.33,3638.59,
2003-04-01,Real Gross Domestic Product,quarterly,billions of dollars,3680.93,98.16,2.74,5.14,3656.7,
2003-07-01,Real Gross Domestic Product,quarterly,billions of dollars,3753.43,72.5,1.97,7.21,3682.49,
2003-10-01,Real Gross Domestic Product,quarterly,billions of dollars,3860.18,106.75,2.84,10.26,3719.33,3668.75
2004-01-01,Real Gross Domestic Product,quarterly,billions of dollars,3741.64,-118.55,-3.07,6.87,3759.05,3698.82
2004-04-01,Real Gross Domestic Product,quarterly,billions of dollars,3837.59,95.95,2.56,9.61,3798.21,3727.45
2004-07-01,Real Gross Domestic Product,quarterly,billions of dollars,3879.62,42.03,1.1,10.81,3829.76,3756.13
2004-10-01,Real Gross Domestic Product,quarterly,billions of dollars,3990.91,111.3,2.87,13.99,3862.44,3790.88
2005-01-01,Real Gross Domestic Product,quarterly,billions of dollars,3867.08,-123.84,-3.1,10.45,3893.8,3826.42
2005-04-01,Real Gross Domestic Product,quarterly,billions of dollars,3972.82,105.74,2.73,13.47,3927.61,3862.91
2005-07-01,Real Gross Domestic Product,quarterly,billions of dollars,4040.69,67.87,1.71,15.41,3967.87,3898.82
2005-10-01,Real Gross Domestic Product,quarterly,billions of dollars,4107.38,66.69,1.65,17.32,3996.99,3929.71
2006-01-01,Real Gross Domestic Product,quarterly,billions of dollars,4003.48,-103.9,-2.53,14.35,4031.09,3962.44
2006-04-01,Real Gross Domestic Product,quarterly,billions of dollars,4116.72,113.24,2.83,17.58,4067.07,3997.34
2006-07-01,Real Gross Domestic Product,quarterly,billions of dollars,4111.95,-4.77,-0.12,17.45,4084.88,4026.38
2006-10-01,Real Gross Domestic Product,quarterly,billions of dollars,4201.0,89.05,2.17,19.99,4108.29,4052.64
2007-01-01,Real Gross Domestic Product,quarterly,billions of dollars,4063.75,-137.25,-3.27,16.07,4123.35,4077.22
2007-04-01,Real Gross Domestic Product,quarterly,billions of dollars,4184.41,120.66,2.97,19.52,4140.28,4103.67
2007-07-01,Real Gross Domestic Product,quarterly,billions of dollars,4208.61,24.2,0.58,20.21,4164.44,4124.66
2007-10-01,Real Gross Domestic Product,quarterly,billions of dollars,4305.67,97.05,2.31,22.98,4190.61,4149.45
2008-01-01,Real Gross Domestic Product,quarterly,billions of dollars,4182.54,-123.13,-2.86,19.46,4220.31,4171.83
2008-04-01,Real Gross Domestic Product,quarterly,billions of dollars,4226.59,44.05,1.05,20.72,4230.85,4185.56
2008-07-01,Real Gross Domestic Product,quarterly,billions of dollars,4192.4,-34.19,-0.81,19.74,4226.8,4195.62
2008-10-01,Real Gross Domestic Product,quarterly,billions of dollars,4179.96,-12.44,-0.3,19.39,4195.37,4192.99
2009-01-01,Real Gross Domestic Product,quarterly,billions of dollars,3976.81,-203.15,-4.86,13.59,4143.94,4182.12
2009-04-01,Real Gross Domestic Product,quarterly,billions of dollars,4060.38,83.58,2.1,15.97,4102.39,4166.62
2009-07-01,Real Gross Domestic Product,quarterly,billions of dollars,4102.85,42.47,1.05,17.19,4080.0,4153.4
2009-10-01,Real Gross Domestic Product,quarterly,billions of dollars,4209.06,106.21,2.59,20.22,4087.28,4141.32
2010-01-01,Real Gross Domestic Product,quarterly,billions of dollars,4055.06,-154.0,-3.66,15.82,4106.84,4125.39
2010-04-01,Real Gross Domestic Product,quarterly,billions of dollars,4188.71,133.64,3.3,19.64,4138.92,4120.65
2010-07-01,Real Gross Domestic Product,quarterly,billions of dollars,4229.41,40.7,0.97,20.8,4170.56,4125.28
2010-10-01,Real Gross Domestic Product,quarterly,billions of dollars,4316.57,87.16,2.06,23.29,4197.44,4142.36
2011-01-01,Real Gross Domestic Product,quarterly,billions of dollars,4155.64,-160.94,-3.73,18.69,4222.58,4164.71
2011-04-01,Real Gross Domestic Product,quarterly,billions of dollars,4251.8,96.16,2.31,21.44,4238.35,4188.64
2011-07-01,Real Gross Domestic Product,quarterly,billions of dollars,4273.16,21.36,0.5,22.05,4249.29,4209.93
2011-10-01,Real Gross Domestic Product,quarterly,billions of dollars,4371.81,98.65,2.31,24.87,4263.1,4230.27
2012-01-01,Real Gross Domestic Product,quarterly,billions of dollars,4279.82,-92.0,-2.1,22.24,4294.15,4258.36
2012-04-01,Real Gross Domestic Product,quarterly,billions of dollars,4345.71,65.89,1.54,24.12,4317.62,4277.99
2012-07-01,Real Gross Domestic Product,quarterly,billions of dollars,4376.68,30.98,0.71,25.01,4343.5,4296.4
2012-10-01,Real Gross Domestic Product,quarterly,billions of dollars,4440.56,63.87,1.46,26.83,4360.69,4311.9
2013-01-01,Real Gross Domestic Product,quarterly,billions of dollars,4320.26,-120.29,-2.71,23.4,4370.8,4332.47
2013-04-01,Real Gross Domestic Product,quarterly,billions of dollars,4419.14,98.88,2.29,26.22,4389.16,4353.39
2013-07-01,Real Gross Domestic Product,quarterly,billions of dollars,4486.44,67.3,1.52,28.14,4416.6,4380.05
2013-10-01,Real Gross Domestic Product,quarterly,billions of dollars,4586.32,99.88,2.23,31.0,4453.04,4406.87
2014-01-01,Real Gross Domestic Product,quarterly,billions of dollars,4403.18,-183.14,-3.99,25.76,4473.77,4422.29
2014-04-01,Real Gross Domestic Product,quarterly,billions of dollars,4532.34,129.16,2.93,29.45,4502.07,4445.62
2014-07-01,Real Gross Domestic Product,quarterly,billions of dollars,4616.61,84.27,1.86,31.86,4534.61,4475.61
2014-10-01,Real Gross Domestic Product,quarterly,billions of dollars,4709.58,92.97,2.01,34.52,4565.43,4509.24
2015-01-01,Real Gross Domestic Product,quarterly,billions of dollars,4562.38,-147.2,-3.13,30.31,4605.23,4539.5
2015-04-01,Real Gross Domestic Product,quarterly,billions of dollars,4696.82,134.44,2.95,34.15,4646.35,4574.21
2015-07-01,Real Gross Domestic Product,quarterly,billions of dollars,4741.07,44.25,0.94,35.42,4677.46,4606.04
2015-10-01,Real Gross Domestic Product,quarterly,billions of dollars,4799.35,58.28,1.23,37.08,4699.91,4632.67
2016-01-01,Real Gross Domestic Product,quarterly,billions of dollars,4641.85,-157.5,-3.28,32.58,4719.77,4662.5
2016-04-01,Real Gross Domestic Product,quarterly,billions of dollars,4768.31,126.46,2.72,36.19,4737.65,4692.0
2016-07-01,Real Gross Domestic Product,quarterly,billions of dollars,4819.18,50.87,1.07,37.65,4757.17,4717.32
2016-10-01,Real Gross Domestic Product,quarterly,billions of dollars,4912.33,93.15,1.93,40.31,4785.42,4742.66
2017-01-01,Real Gross Domestic Product,quarterly,billions of dollars,4698.37,-213.96,-4.36,34.2,4799.55,4759.66
2017-04-01,Real Gross Domestic Product,quarterly,billions of dollars,4893.23,194.87,4.15,39.76,4830.78,4784.21
2017-07-01,Real Gross Domestic Product,quarterly,billions of dollars,4950.88,57.64,1.18,41.41,4863.7,4810.44
2017-10-01,Real Gross Domestic Product,quarterly,billions of dollars,5069.62,118.75,2.4,44.8,4903.03,4844.22
2018-01-01,Real Gross Domestic Product,quarterly,billions of dollars,4890.82,-178.81,-3.53,39.69,4951.14,4875.34
2018-04-01,Real Gross Domestic Product,quarterly,billions of dollars,5039.98,149.17,3.05,43.95,4987.83,4909.3
2018-07-01,Real Gross Domestic Product,quarterly,billions of dollars,5092.53,52.55,1.04,45.45,5023.24,4943.47
2018-10-01,Real Gross Domestic Product,quarterly,billions of dollars,5170.56,78.03,1.53,47.68,5048.47,4975.75
2019-01-01,Real Gross Domestic Product,quarterly,billions of dollars,4973.05,-197.52,-3.82,42.04,5069.03,5010.08
2019-04-01,Real Gross Domestic Product,quarterly,billions of dollars,5159.32,186.28,3.75,47.36,5098.87,5043.35
2019-07-01,Real Gross Domestic Product,quarterly,billions of dollars,5232.28,72.95,1.41,49.45,5133.8,5078.52
2019-10-01,Real Gross Domestic Product,quarterly,billions of dollars,5351.02,118.74,2.27,52.84,5178.92,5113.7
2020-01-01,Real Gross Domestic Product,quarterly,billions of dollars,5055.71,-295.31,-5.52,44.4,5199.58,5134.31
2020-04-01,Real Gross Domestic Product,quarterly,billions of dollars,4780.55,-275.16,-5.44,36.54,5104.89,5101.88
2020-07-01,Real Gross Domestic Product,quarterly,billions of dollars,5145.05,364.5,7.62,46.95,5083.08,5108.44
2020-10-01,Real Gross Domestic Product,quarterly,billions of dollars,5303.19,158.13,3.07,51.47,5071.12,5125.02
2021-01-01,Real Gross Domestic Product,quarterly,billions of dollars,5145.09,-158.1,-2.98,46.96,5093.47,5146.53
2021-04-01,Real Gross Domestic Product,quarterly,billions of dollars,5368.02,222.93,4.33,53.32,5240.34,5172.61
2021-07-01,Real Gross Domestic Product,quarterly,billions of dollars,5418.75,50.74,0.95,54.77,5308.76,5195.92
2021-10-01,Real Gross Domestic Product,quarterly,billions of dollars,5600.55,181.8,3.35,59.96,5383.1,5227.11
2022-01-01,Real Gross Domestic Product,quarterly,billions of dollars,5354.37,-246.18,-4.4,52.93,5435.42,5264.45
2022-04-01,Real Gross Domestic Product,quarterly,billions of dollars,5495.48,141.11,2.64,56.96,5467.29,5353.81
2022-07-01,Real Gross Domestic Product,quarterly,billions of dollars,5556.06,60.57,1.1,58.69,5501.61,5405.19
2022-10-01,Real Gross Domestic Product,quarterly,billions of dollars,5670.02,113.97,2.05,61.95,5518.98,5451.04
2023-01-01,Real Gross Domestic Product,quarterly,billions of dollars,5488.95,-181.07,-3.19,56.78,5552.63,5494.02
2023-04-01,Real Gross Domestic Product,quarterly,billions of dollars,5655.78,166.83,3.04,61.54,5592.7,5530.0
2023-07-01,Real Gross Domestic Product,quarterly,billions of dollars,5731.93,76.15,1.35,63.72,5636.67,5569.14
2023-10-01,Real Gross Domestic Product,quarterly,billions of dollars,5847.06,115.13,2.01,67.01,5680.93,5599.96
2024-01-01,Real Gross Domestic Product,quarterly,billions of dollars,5647.3,-199.76,-3.42,61.3,5720.52,5636.57
2024-04-01,Real Gross Domestic Product,quarterly,billions of dollars,5829.38,182.08,3.22,66.5,5763.92,5678.31
2024-07-01,Real Gross Domestic Product,quarterly,billions of dollars,5884.57,55.18,0.95,68.08,5802.08,5719.37
2024-10-01,Real Gross Domestic Product,quarterly,billions of dollars,5997.18,112.62,1.91,71.29,5839.61,5760.27
2025-01-01,Real Gross Domestic Product,quarterly,billions of dollars,5776.72,-220.46,-3.68,65.0,5871.96,5796.24
2025-04-01,Real Gross Domestic Product,quarterly,billions of dollars,5943.38,166.66,2.89,69.76,5900.46,5832.19
2025-07-01,Real Gross Domestic Product,quarterly,billions of dollars,6023.78,80.4,1.35,72.05,5935.27,5868.67
2025-10-01,Real Gross Domestic Product,quarterly,billions of dollars,6119.38,95.6,1.59,74.78,5965.82,5902.71
2026-01-01,Real Gross Domestic Product,quarterly,billions of dollars,5900.81,-218.57,-3.57,68.54,5996.84,5934.4
