country_unep,household_year,household_region,household_kg_per_capita_year,household_tonnes_year,household_confidence,food_service_year,food_service_kg_per_capita_year,food_service_tonnes_year,food_service_confidence,retail_year,retail_kg_per_capita_year,retail_tonnes_year,retail_confidence,average_temperature,temperature_year,temperature_unit,income_year,income_region,income_group,income_lending_category,gdp_per_capita_year,gdp_per_capita,population_density_year,population_density,tourism_arrivals_year,tourism_arrivals,access_to_electricity_year,access_to_electricity,total_population_year,total_population,total_food_waste_kg_per_capita_year,total_food_waste_tonnes_year,household_share_pct,food_service_share_pct,retail_share_pct,main_contributing_sector,tourists_per_resident,income_rank,population_size_category,temperature_band,gdp_per_capita_category,coverage_score,sector_share_total
Mexico,2024,Latin America and the Caribbean,105,13368447.0,Medium Confidence,2024,64,8210204.0,Medium Confidence,2024,45,5798641.0,Medium Confidence,22.23,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,IBRD,2024,14185.7812248529,2023,66.7402757272564,2020,51128000.0,2023,99.7,2024,130861007.0,214,27377292.0,48.83,29.99,21.18,Household,0.39,3,Very Large (>100M),Warm (20°C-25°C),Lower-Middle GDP per Capita,9,100.0
Montserrat,2024,Latin America and the Caribbean,95,,Very Low Confidence,2024,23,,Very Low Confidence,2024,14,,Very Low Confidence,,,,,,,,,,,,,,,,,,132,,,,,No Data,,,,,,2,
Nicaragua,2024,Latin America and the Caribbean,90,626538.0,Low Confidence,2024,48,331971.0,Very Low Confidence,2024,13,92593.0,Very Low Confidence,26.52,2024,Celsius,2024,Latin America & Caribbean,Lower Middle Income,IDA,2024,2847.53966339498,2023,56.702783779292,2020,474000.0,2023,88.3,2024,6916140.0,151,1051102.0,59.61,31.58,8.81,Household,0.07,2,Small (1M-10M),Hot (25°C-30°C),Low GDP per Capita,9,100.0
Panama,2024,Latin America and the Caribbean,101,445347.0,Medium Confidence,2024,42,187383.0,Very Low Confidence,2024,15,66407.0,Very Low Confidence,26.04,2024,Celsius,2024,Latin America & Caribbean,High Income,IBRD,2024,19161.2188501596,2023,60.1072930709086,2020,647000.0,2023,97.0,2024,4515577.0,158,699137.0,63.7,26.8,9.5,Household,0.14,4,Small (1M-10M),Hot (25°C-30°C),Upper-Middle GDP per Capita,9,100.0
Paraguay,2024,Latin America and the Caribbean,91,619272.0,Low Confidence,2024,48,322368.0,Very Low Confidence,2024,19,128855.0,Very Low Confidence,25.07,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,IBRD,2024,6416.09708970845,2023,17.282671943072,2020,1077000.0,2023,99.8,2024,6929153.0,158,1070495.0,57.85,30.11,12.04,Household,0.16,3,Small (1M-10M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0
Peru,2024,Latin America and the Caribbean,88,2983735.0,Medium Confidence,2024,48,1618974.0,Very Low Confidence,2024,19,647124.0,Very Low Confidence,20.93,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,IBRD,2024,8452.37167056621,2023,26.44188828125,2020,1119000.0,2023,96.2,2024,34217848.0,155,5249833.0,56.83,30.84,12.33,Household,0.03,3,Medium (10M-50M),Warm (20°C-25°C),Lower-Middle GDP per Capita,9,100.0
Puerto Rico,2024,Latin America and the Caribbean,88,286071.0,Low Confidence,2024,42,138094.0,Very Low Confidence,2024,15,48940.0,Very Low Confidence,25.52,2024,Celsius,2024,Latin America & Caribbean,High Income,,2024,39343.7154660139,2023,361.194137542277,2020,3882000.0,2023,100.0,2024,3203295.0,145,473105.0,60.47,29.19,10.34,Household,1.21,4,Small (1M-10M),Hot (25°C-30°C),High GDP per Capita,9,100.0
Saint Barthélemy,2024,Latin America and the Caribbean,95,946.0,Very Low Confidence,2024,23,228.0,Very Low Confidence,2024,14,144.0,Very Low Confidence,,,,,,,,,,,,,,,,,,132,1318.0,71.78,17.3,10.93,Household,,,,,,2,100.00999999999999
Saint Kitts and Nevis,2024,Latin America and the Caribbean,88,4401.0,Low Confidence,2024,42,2125.0,Very Low Confidence,2024,15,753.0,Very Low Confidence,28.05,2024,Celsius,2024,Latin America & Caribbean,High Income,IBRD,2024,23960.6534357084,2023,179.838461538462,2020,301399.993896484,2023,100.0,2024,46843.0,145,7279.0,60.46,29.19,10.34,Household,6.43,4,Very Small (<1M),Hot (25°C-30°C),Upper-Middle GDP per Capita,9,99.99000000000001
Saint Lucia,2024,Latin America and the Caribbean,91,16441.0,Low Confidence,2024,48,8558.0,Very Low Confidence,2024,19,3421.0,Very Low Confidence,27.37,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,Blend,2024,14181.6303351598,2023,293.909836065574,2020,432500.0,2023,100.0,2024,179744.0,158,28420.0,57.85,30.11,12.04,Household,2.41,3,Very Small (<1M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0
Saint Martin (French part),2024,Latin America and the Caribbean,88,2641.0,Low Confidence,2024,42,1275.0,Very Low Confidence,2024,15,452.0,Very Low Confidence,,,,2024,Latin America & Caribbean,High Income,,2021,21668.3776525323,2023,550.3,,,2023,100.0,2024,26129.0,145,4368.0,60.46,29.19,10.35,Household,,4,Very Small (<1M),,Upper-Middle GDP per Capita,7,100.0
Saint Vincent & Grenadines,2024,Latin America and the Caribbean,91,9134.0,Low Confidence,2024,48,4755.0,Very Low Confidence,2024,19,1901.0,Very Low Confidence,26.56,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,Blend,2024,11501.2265187188,2023,259.802564102564,2019,392000.0,2023,100.0,2024,100616.0,158,15790.0,57.85,30.11,12.04,Household,3.9,3,Very Small (<1M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0
Sint Maarten (Dutch part),2024,Latin America and the Caribbean,88,3521.0,Low Confidence,2024,42,1700.0,Very Low Confidence,2024,15,602.0,Very Low Confidence,,,,2024,Latin America & Caribbean,High Income,,2024,41472.5874498583,2023,1257.32352941176,2019,1952000.0,2023,100.0,2024,43350.0,145,5823.0,60.47,29.19,10.34,Household,45.03,4,Very Small (<1M),,High GDP per Capita,8,100.0
Suriname,2024,Latin America and the Caribbean,91,56630.0,Low Confidence,2024,48,29479.0,Very Low Confidence,2024,19,11783.0,Very Low Confidence,27.11,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,Blend,2024,6961.78955961526,2023,3.91810706046897,2017,279000.0,2023,99.6,2024,634431.0,158,97892.0,57.85,30.11,12.04,Household,0.44,3,Very Small (<1M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0
Trinidad and Tobago,2024,Latin America and the Caribbean,88,134673.0,Low Confidence,2024,42,65011.0,Very Low Confidence,2024,15,23039.0,Very Low Confidence,27.11,2024,Celsius,2024,Latin America & Caribbean,High Income,IBRD,2024,18733.4110406494,2023,266.571150097466,2020,141000.0,2023,98.7,2024,1368333.0,145,222723.0,60.47,29.19,10.34,Household,0.1,4,Small (1M-10M),Hot (25°C-30°C),Upper-Middle GDP per Capita,9,100.0
Turks and Caicos Islands,2024,Latin America and the Caribbean,88,4401.0,Low Confidence,2024,42,2125.0,Very Low Confidence,2024,15,753.0,Very Low Confidence,,,,2024,Latin America & Caribbean,High Income,,2024,37506.7798431288,2023,48.6294736842105,2020,370399.993896484,2023,100.0,2024,46535.0,145,7279.0,60.46,29.19,10.34,Household,7.96,4,Very Small (<1M),,High GDP per Capita,8,99.99000000000001
United States Virgin Islands,2024,Latin America and the Caribbean,88,8802.0,Low Confidence,2024,42,4249.0,Very Low Confidence,2024,15,1506.0,Very Low Confidence,27.52,2024,Celsius,2024,Latin America & Caribbean,High Income,,2022,44320.909185774,2023,299.762857142857,2020,8612000.0,2023,100.0,2024,104377.0,145,14557.0,60.47,29.19,10.35,Household,82.51,4,Very Small (<1M),Hot (25°C-30°C),High GDP per Capita,9,100.00999999999999
Uruguay,2024,Latin America and the Caribbean,88,301034.0,Low Confidence,2024,42,145318.0,Very Low Confidence,2024,15,51500.0,Very Low Confidence,18.93,2024,Celsius,2024,Latin America & Caribbean,High Income,IBRD,2024,23906.5133029408,2023,19.3582504856588,2019,3480000.0,2023,100.0,2024,3386588.0,145,497852.0,60.47,29.19,10.34,Household,1.03,4,Small (1M-10M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,100.0
Venezuela (Boliv. Rep. of),2024,Latin America and the Caribbean,93,2626859.0,Medium Confidence,2024,23,645747.0,Very Low Confidence,2024,14,407469.0,Very Low Confidence,26.0,2024,Celsius,2024,Latin America & Caribbean,,IBRD,2024,4217.59102643391,2023,32.0853171588912,2017,429000.0,2023,100.0,2024,28405543.0,130,3680075.0,71.38,17.55,11.07,Household,0.02,,Medium (10M-50M),Hot (25°C-30°C),Low GDP per Capita,8,100.0
Fiji,2024,Melanesia,90,83945.0,Very Low Confidence,2024,31,28551.0,Very Low Confidence,2024,21,19570.0,Very Low Confidence,25.2,2024,Celsius,2024,East Asia & Pacific,Upper Middle Income,Blend,2024,6425.74151715712,2023,50.5826491516147,2020,168000.0,2023,99.3,2024,928784.0,142,132066.0,63.56,21.62,14.82,Household,0.18,3,Very Small (<1M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0
New Caledonia,2024,Melanesia,87,25215.0,Very Low Confidence,2024,21,5970.0,Very Low Confidence,2024,13,3813.0,Very Low Confidence,22.68,2024,Celsius,2024,East Asia & Pacific,High Income,,2024,29213.1923192946,2023,15.8572210065646,2020,31000.0,2023,100.0,2024,292639.0,121,34998.0,72.05,17.06,10.89,Household,0.11,4,Very Small (<1M),Warm (20°C-25°C),Upper-Middle GDP per Capita,9,100.0
Papua New Guinea,2024,Melanesia,89,903213.0,Very Low Confidence,2024,31,315734.0,Very Low Confidence,2024,10,98134.0,Very Low Confidence,24.77,2024,Celsius,2024,East Asia & Pacific,Lower Middle Income,Blend,2024,3006.70564478923,2023,22.9422669257607,2020,39000.0,2023,20.5,2024,10576502.0,130,1317081.0,68.58,23.97,7.45,Household,0.0,2,Medium (10M-50M),Warm (20°C-25°C),Low GDP per Capita,9,100.0
Solomon Islands,2024,Melanesia,43,31242.0,Medium Confidence,2024,31,22419.0,Very Low Confidence,2024,10,6968.0,Very Low Confidence,25.89,2024,Celsius,2024,East Asia & Pacific,Lower Middle Income,IDA,2024,1933.55538435227,2023,28.581814933905,2020,4400.00009536743,2023,81.3,2024,819198.0,84,60629.0,51.53,36.98,11.49,Household,0.01,2,Very Small (<1M),Hot (25°C-30°C),Low GDP per Capita,9,99.99999999999999
Vanuatu,2024,Melanesia,141,46687.0,Medium Confidence,2024,31,10275.0,Very Low Confidence,2024,10,3194.0,Very Low Confidence,24.39,2024,Celsius,2024,East Asia & Pacific,Lower Middle Income,IDA,2024,3410.77023167097,2023,26.2845775225595,2020,82400.0015258789,2023,61.6,2024,327777.0,182,60156.0,77.61,17.08,5.31,Household,0.25,2,Very Small (<1M),Warm (20°C-25°C),Low GDP per Capita,9,100.0
Guam,2024,Micronesia,60,10173.0,Very Low Confidence,2024,21,3500.0,Very Low Confidence,2024,13,2235.0,Very Low Confidence,27.67,2024,Celsius,2024,East Asia & Pacific,High Income,,2022,41833.1517132825,2023,308.344444444444,2020,328000.0,2023,100.0,2024,167777.0,94,15908.0,63.95,22.0,14.05,Household,1.95,4,Very Small (<1M),Hot (25°C-30°C),High GDP per Capita,9,100.0
Kiribati,2024,Micronesia,62,8056.0,Very Low Confidence,2024,31,4048.0,Very Low Confidence,2024,10,1258.0,Very Low Confidence,27.79,2024,Celsius,2024,East Asia & Pacific,Lower Middle Income,IDA,2024,2288.63471423684,2023,163.617283950617,2019,12000.0,2023,95.9,2024,134518.0,103,13362.0,60.29,30.29,9.41,Household,0.09,2,Very Small (<1M),Hot (25°C-30°C),Low GDP per Capita,9,99.99
Marshall Islands,2024,Micronesia,63,2526.0,Very Low Confidence,2024,31,1228.0,Very Low Confidence,2024,21,842.0,Very Low Confidence,28.3,2024,Celsius,2024,East Asia & Pacific,Upper Middle Income,IDA,2024,7726.33668877794,2023,215.705555555556,2019,6099.99990463257,2023,100.0,2024,37548.0,115,4596.0,54.96,26.72,18.32,Household,0.16,3,Very Small (<1M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0
Micronesia (Fed. States of),2024,Micronesia,38,4205.0,Medium Confidence,2024,31,3425.0,Very Low Confidence,2024,10,1065.0,Very Low Confidence,27.68,2024,Celsius,2024,East Asia & Pacific,Lower Middle Income,IDA,2024,4166.00476748564,2023,160.9,2019,18000.0,2023,86.9,2024,113160.0,79,8695.0,48.36,39.39,12.25,Household,0.16,2,Very Small (<1M),Hot (25°C-30°C),Low GDP per Capita,9,100.0
Nauru,2024,Micronesia,60,598.0,Very Low Confidence,2024,21,206.0,Very Low Confidence,2024,13,131.0,Very Low Confidence,,,,2024,East Asia & Pacific,High Income,IBRD,2024,13609.158837552,2023,593.75,,,2023,100.0,2024,11947.0,94,935.0,63.96,22.03,14.01,Household,,4,Very Small (<1M),,Lower-Middle GDP per Capita,7,100.00000000000001
Northern Mariana Islands,2024,Micronesia,60,2992.0,Very Low Confidence,2024,21,1029.0,Very Low Confidence,2024,13,657.0,Very Low Confidence,27.35,2024,Celsius,2024,East Asia & Pacific,High Income,,2022,23785.754590043,2023,98.1369565217391,2019,487000.0,2023,100.0,2024,44278.0,94,4678.0,63.96,22.0,14.04,Household,11.0,4,Very Small (<1M),Hot (25°C-30°C),Upper-Middle GDP per Capita,9,100.0
Palau,2024,Micronesia,63,1263.0,Very Low Confidence,2024,31,614.0,Very Low Confidence,2024,21,421.0,Very Low Confidence,27.26,2024,Celsius,2024,East Asia & Pacific,High Income,IBRD,2023,15610.8231931032,2023,38.5369565217391,2020,18399.9996185303,2023,100.0,2024,17695.0,115,2298.0,54.96,26.72,18.32,Household,1.04,4,Very Small (<1M),Hot (25°C-30°C),Upper-Middle GDP per Capita,9,100.0
Algeria,2024,Northern Africa,113,5057909.0,Very Low Confidence,2024,31,1398071.0,Very Low Confidence,2024,10,434537.0,Very Low Confidence,23.99,2024,Celsius,2024,"Middle East, North Africa, Afghanistan & Pakistan",Upper Middle Income,IBRD,2024,5752.99076651465,2023,19.3825602290762,2020,591000.0,2023,100.0,2024,46814308.0,154,6890517.0,73.4,20.29,6.31,Household,0.01,3,Medium (10M-50M),Warm (20°C-25°C),Lower-Middle GDP per Capita,9,100.0
Egypt,2024,Northern Africa,163,18085437.0,Medium Confidence,2024,31,3455944.0,Very Low Confidence,2024,10,1074148.0,Very Low Confidence,23.95,2024,Celsius,2024,"Middle East, North Africa, Afghanistan & Pakistan",Lower Middle Income,IBRD,2024,3338.47371395895,2023,115.059291777588,2019,13026000.0,2023,100.0,2024,116538258.0,204,22615529.0,79.97,15.28,4.75,Household,0.11,2,Very Large (>100M),Warm (20°C-25°C),Low GDP per Capita,9,100.0
Libya,2024,Northern Africa,84,572937.0,Medium Confidence,2024,31,209068.0,Very Low Confidence,2024,21,143301.0,Very Low Confidence,22.95,2024,Celsius,2024,"Middle East, North Africa, Afghanistan & Pakistan",Upper Middle Income,IBRD,2024,6569.16408678648,2023,4.15202780272117,,,2023,73.2,2024,7381023.0,136,925306.0,61.92,22.59,15.49,Household,,3,Small (1M-10M),Warm (20°C-25°C),Lower-Middle GDP per Capita,8,100.0
Morocco,2024,Northern Africa,113,4219805.0,Very Low Confidence,2024,31,1166408.0,Very Low Confidence,2024,10,362533.0,Very Low Confidence,19.16,2024,Celsius,2024,"Middle East, North Africa, Afghanistan & Pakistan",Lower Middle Income,IBRD,2024,4153.1943359375,2023,84.5003473000224,2020,2802000.0,2023,100.0,2024,38081173.0,154,5748746.0,73.4,20.29,6.31,Household,0.07,2,Medium (10M-50M),Cool (10°C-20°C),Low GDP per Capita,9,100.0
Sudan,2024,Northern Africa,116,5414527.0,Very Low Confidence,2024,31,1459412.0,Very Low Confidence,2024,10,453602.0,Very Low Confidence,27.8,2024,Celsius,2024,Sub-Saharan Africa,Low Income,IDA,2024,984.607666015625,2023,26.7895026766595,2018,836000.0,2023,66.0,2024,50448963.0,157,7327541.0,73.89,19.92,6.19,Household,0.02,1,Large (50M-100M),Hot (25°C-30°C),Low GDP per Capita,9,100.0
Tunisia,2024,Northern Africa,172,2121810.0,Medium Confidence,2024,31,384859.0,Very Low Confidence,2024,10,119619.0,Very Low Confidence,21.2,2024,Celsius,2024,"Middle East, North Africa, Afghanistan & Pakistan",Lower Middle Income,IBRD,2024,4181.13789301228,2023,78.530065653965,2020,2012000.0,2023,100.0,2024,12277109.0,213,2626288.0,80.79,14.65,4.55,Household,0.16,2,Medium (10M-50M),Warm (20°C-25°C),Low GDP per Capita,9,99.99000000000001
Western Sahara,2024,Northern Africa,140,80958.0,Very Low Confidence,2024,23,13234.0,Very Low Confidence,2024,14,8351.0,Very Low Confidence,,,,,,,,,,,,,,,,,,177,102543.0,78.95,12.91,8.14,Household,,,,,,2,100.0
Bermuda,2024,Northern America,79,4718.0,Very Low Confidence,2024,49,2919.0,Very Low Confidence,2024,17,1020.0,Very Low Confidence,,,,2024,North America,High Income,,2024,142855.374713782,2023,1198.11111111111,2020,51400.0015258789,2023,100.0,2024,64636.0,145,8657.0,54.5,33.72,11.78,Household,0.8,4,Very Small (<1M),,High GDP per Capita,8,100.0
Canada,2024,Northern America,79,3019925.0,High Confidence,2024,80,3064632.0,Medium Confidence,2024,30,1146937.0,Medium Confidence,-2.89,2024,Celsius,2024,North America,High Income,,2024,54340.3477224733,2023,4.56079784268436,2019,32430000.0,2023,100.0,2024,41288599.0,189,7231494.0,41.76,42.38,15.86,Food Service,0.79,4,Medium (10M-50M),Cold (<10°C),High GDP per Capita,9,100.0
Greenland,2024,Northern America,79,4718.0,Very Low Confidence,2024,49,2919.0,Very Low Confidence,2024,17,1020.0,Very Low Confidence,-18.47,2024,Celsius,2024,Europe & Central Asia,High Income,,2023,58498.9707973609,2023,0.138543062492386,,,2023,100.0,2024,56836.0,145,8657.0,54.5,33.72,11.78,Household,,4,Very Small (<1M),Cold (<10°C),High GDP per Capita,8,100.0
Saint Pierre and Miquelon,2024,Northern America,76,758.0,Very Low Confidence,2024,23,228.0,Very Low Confidence,2024,14,144.0,Very Low Confidence,,,,,,,,,,,,,,,,,,113,1130.0,67.08,20.18,12.74,Household,,,,,,2,99.99999999999999
United States of America,2024,Northern America,73,24716539.0,High Confidence,2024,74,24939986.0,High Confidence,2024,12,4011424.0,High Confidence,10.25,2024,Celsius,2024,North America,High Income,,2024,84534.0407841548,2023,36.8198061311277,2020,45037000.0,2023,100.0,2024,340110988.0,159,53667949.0,46.05,46.47,7.47,Food Service,0.13,4,Very Large (>100M),Cool (10°C-20°C),High GDP per Capita,9,99.99
Denmark,2024,Northern Europe,79,464520.0,Eurostat,2024,11,64680.0,Eurostat,2024,17,99960.0,Eurostat,9.56,2024,Celsius,2024,Europe & Central Asia,High Income,,2024,71026.4832271897,2023,148.6738,2020,15595000.0,2023,100.0,2024,5976992.0,107,629160.0,73.83,10.28,15.89,Household,2.61,4,Small (1M-10M),Cold (<10°C),High GDP per Capita,9,100.0
Estonia,2024,Northern Europe,61,81130.0,Eurostat,2024,8,10640.0,Eurostat,2024,15,19950.0,Eurostat,6.91,2024,Celsius,2024,Europe & Central Asia,High Income,,2024,31428.3547816104,2023,32.0684764802247,2020,1695000.0,2023,100.0,2024,1372341.0,84,111720.0,72.62,9.52,17.86,Household,1.24,4,Small (1M-10M),Cold (<10°C),Upper-Middle GDP per Capita,9,100.0
Faroe Islands,2024,Northern Europe,75,3768.0,Low Confidence,2024,18,885.0,Low Confidence,2024,12,594.0,Low Confidence,6.78,2024,Celsius,2024,Europe & Central Asia,High Income,,2024,74119.6607553879,2023,39.7182481751825,,,2023,100.0,2024,54681.0,105,5247.0,71.81,16.87,11.32,Household,,4,Very Small (<1M),Cold (<10°C),High GDP per Capita,8,100.0
Finland,2024,Northern Europe,53,293620.0,Eurostat,2024,14,77560.0,Eurostat,2024,10,55400.0,Eurostat,2.87,2024,Celsius,2024,Europe & Central Asia,High Income,,2024,53149.7671934051,2023,18.3705454665088,2020,896000.0,2023,100.0,2024,5619911.0,77,426580.0,68.83,18.18,12.99,Household,0.16,4,Small (1M-10M),Cold (<10°C),High GDP per Capita,9,99.99999999999999
Iceland,2024,Northern Europe,75,27886.0,Low Confidence,2024,18,6547.0,Low Confidence,2024,12,4396.0,Low Confidence,1.77,2024,Celsius,2024,Europe & Central Asia,High Income,,2024,86040.5309851288,2023,3.82488346722206,2020,488000.0,2023,100.0,2024,386506.0,105,38829.0,71.82,16.86,11.32,Household,1.26,4,Very Small (<1M),Cold (<10°C),High GDP per Capita,9,100.0
Ireland,2024,Northern Europe,48,240960.0,Eurostat,2024,36,180720.0,Eurostat,2024,12,60240.0,Eurostat,10.65,2024,Celsius,2024,Europe & Central Asia,High Income,,2024,112894.953240805,2023,77.1017273914937,2019,10951000.0,2023,100.0,2024,5395790.0,96,481920.0,50.0,37.5,12.5,Household,2.03,4,Small (1M-10M),Cool (10°C-20°C),High GDP per Capita,9,100.0
Isle of Man,2024,Northern Europe,75,6029.0,Low Confidence,2024,18,1415.0,Low Confidence,2024,12,950.0,Low Confidence,9.92,2021,Celsius,2024,Europe & Central Asia,High Income,,2022,88328.548125887,2023,147.657894736842,,,2023,100.0,2024,84160.0,105,8394.0,71.83,16.86,11.32,Household,,4,Very Small (<1M),Cold (<10°C),High GDP per Capita,8,100.00999999999999
Latvia,2024,Northern Europe,82,151700.0,Eurostat,2024,19,35150.0,Eurostat,2024,8,14800.0,Eurostat,7.86,2024,Celsius,2024,Europe & Central Asia,High Income,,2024,23409.0845154775,2023,30.2701269484172,2020,3204000.0,2023,100.0,2024,1866124.0,109,201650.0,75.23,17.43,7.34,Household,1.72,4,Small (1M-10M),Cold (<10°C),Upper-Middle GDP per Capita,9,100.0
Lithuania,2024,Northern Europe,86,236500.0,Eurostat,2024,2,5500.0,Eurostat,2024,10,27500.0,Eurostat,8.58,2024,Celsius,2024,Europe & Central Asia,High Income,,2024,29384.0189598663,2023,45.87196485623,2020,2284000.0,2023,100.0,2024,2888278.0,98,269500.0,87.76,2.04,10.2,Household,0.79,4,Small (1M-10M),Cold (<10°C),Upper-Middle GDP per Capita,9,100.00000000000001
Norway,2024,Northern Europe,78,423540.0,Eurostat,2024,18,97740.0,Eurostat,2024,11,59730.0,Eurostat,2.28,2024,Celsius,2024,Europe & Central Asia,High Income,,2024,86785.4334489176,2023,15.1524995195871,2020,1397000.0,2023,100.0,2024,5572279.0,107,581010.0,72.9,16.82,10.28,Household,0.25,4,Small (1M-10M),Cold (<10°C),High GDP per Capita,9,100.0
Sweden,2024,Northern Europe,61,643550.0,Eurostat,2024,9,94950.0,Eurostat,2024,9,94950.0,Eurostat,3.38,2024,Celsius,2024,Europe & Central Asia,High Income,,2024,57117.4877440616,2023,25.8713678886243,2020,1957000.0,2023,100.0,2024,10569709.0,79,833450.0,77.22,11.39,11.39,Household,0.19,4,Medium (10M-50M),Cold (<10°C),High GDP per Capita,9,100.0
United Kingdom,2024,Northern Europe,76,5097005.0,High Confidence,2024,16,1093662.0,High Confidence,2024,4,236285.0,High Confidence,10.14,2024,Celsius,2024,Europe & Central Asia,High Income,,2024,53246.3676145108,2023,283.106683751498,2020,11101000.0,2023,100.0,2024,69226000.0,96,6426952.0,79.31,17.02,3.68,Household,0.16,4,Large (50M-100M),Cool (10°C-20°C),High GDP per Capita,9,100.01
American Samoa,2024,Polynesia,81,3258.0,Very Low Confidence,2024,21,823.0,Very Low Confidence,2024,13,526.0,Very Low Confidence,27.5,2024,Celsius,2024,East Asia & Pacific,High Income,,2022,18017.4589383973,2023,237.605,2020,899.999976158142,,,2024,46765.0,115,4607.0,70.72,17.86,11.42,Household,0.02,4,Very Small (<1M),Hot (25°C-30°C),Upper-Middle GDP per Capita,8,100.0
Cook Islands,2024,Polynesia,86,1724.0,Very Low Confidence,2024,23,456.0,Very Low Confidence,2024,14,288.0,Very Low Confidence,,,,,,,,,,,,,,,,,,123,2468.0,69.85,18.48,11.67,Household,,,,,,2,100.0
French Polynesia,2024,Polynesia,81,25252.0,Very Low Confidence,2024,21,6382.0,Very Low Confidence,2024,13,4076.0,Very Low Confidence,24.71,2024,Celsius,2024,East Asia & Pacific,High Income,,2024,22439.8838746025,2023,80.990492653414,2020,89400.0015258789,2023,100.0,2024,281807.0,115,35710.0,70.71,17.87,11.41,Household,0.32,4,Very Small (<1M),Warm (20°C-25°C),Upper-Middle GDP per Capita,9,99.99
Niue,2024,Polynesia,86,,Very Low Confidence,2024,23,,Very Low Confidence,2024,14,,Very Low Confidence,,,,,,,,,,,,,,,,,,123,,,,,No Data,,,,,,2,
Samoa,2024,Polynesia,86,18857.0,Very Low Confidence,2024,31,6850.0,Very Low Confidence,2024,10,2129.0,Very Low Confidence,27.72,2024,Celsius,2024,East Asia & Pacific,Upper Middle Income,IDA,2024,5392.87761915762,2023,77.9363309352518,2020,23899.9996185303,2023,100.0,2024,218019.0,127,27836.0,67.74,24.61,7.65,Household,0.11,3,Very Small (<1M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0
